"Food Code","Food Name","Scientific Name","Local Name","Food Group","No. of Regions","Tags","Energy [kJ]","Moisture [g]","Ash [mg]","Vitamins [mg]","Total Fat [g]","Cholesterol [mg]","Dietary Fiber [g]","Carbohydrate [g]","Protein [g]","Essential Amino acids [g]","Carotenoids [mg]","Polyphenols [mg]","Phytosterols [mg]","Tocopherols [ug]","Tocotrienols [ug]","Organic acids [mg]","Phytate [mg]","Saponins [g]","Essential Quantity Minerals [mg]","Essential Trace Minerals [mg]","Possibly essential Trace Minerals [ug]","Non-essential Trace Minerals [ug]","Toxic Minerals [ug]","Vitamin A [ug]","Vitamin B [mg]","Ascorbic acids (C) [mg]","Vitamin D [ug]","α-Tocopherol equivalent (E) [ug]","Vitamin K [ug]","Saturated Fatty acids [g]","Unsaturated Fatty acids [g]","Essential Fatty acids [g]","Cis Fatty acids [g]","Trans Fatty acids [g]","Monounsaturated Fatty acids [g]","Polyunsaturated Fatty acids [g]","Cis ω-3 Fatty acids [mg]","Cis ω-6 Fatty acids [g]","Cis ω-9 Fatty acids [g]","Cis ω-5 Fatty acids [mg]","Cis ω-7 Fatty acids [mg]","Insoluble Dietary Fiber [g]","Soluble Dietary Fiber [g]","Available CHO [g]","Starch [g]","Oligosaccharides [mg]","Free Sugars [g]","Essential Amino acids [g]","Conditionally essential Amino acids [g]","Non-essential Amino acids [g]","Retinol [ug]","Thiamine (B1) [ug]","Riboflavin (B2) [ug]","Niacin (B3) [mg]","Pantothenic acid (B5) [ug]","Total B6 [mg]","Biotin (B7) [ug]","Folates (B9) [ug]","Ergocalciferol (D2) [ug]","Cholecalciferol (D3) [ng]","25-OH-D3 [ng]","α-Tocopherol [ug]","β-Tocopherol [ug]","γ-Tocopherol [ug]","δ-Tocopherol [ug]","α-Tocotrienol [ug]","β-Tocotrienol [ug]","γ-Tocotrienol [ug]","δ-Tocotrienol [ug]","Phylloquinones (K1) [ug]","Menaquinones (K2) [ug]","Lutein [ug]","Zeaxanthin [ug]","Lycopene [ug]","β-Cryptoxanthin [ug]","γ-Carotene [ug]","α-Carotene [ug]","β-Carotene [ug]","Aluminium (Al) [ug]","Arsenic (As) [ug]","Cadmium (Cd) [ug]","Calcium (Ca) [mg]","Chromium (Cr) [ug]","Cobalt (Co) [ug]","Copper (Cu) [ug]","Iron (Fe) [mg]","Lead (Pb) [ug]","Lithium (Li) [ug]","Magnesium (Mg) [mg]","Manganese (Mn) [ug]","Mercury (Hg) [ng]","Molybdenum (Mo) [ug]","Nickel (Ni) [ug]","Phosphorus (P) [mg]","Potassium (K) [mg]","Selenium (Se) [ug]","Sodium (Na) [mg]","Zinc (Zn) [ug]","Fructose [g]","Glucose [mg]","Sucrose [g]","Maltose [mg]","Lactose [g]","Butyric acid (C4:0) [mg]","Caproic acid (C6:0) [mg]","Caprylic acid (C8:0) [g]","Capric acid (C10:0) [mg]","Lauric acid (C12:0) [mg]","Myristic acid (C14:0) [mg]","Palmitic acid (C16:0) [mg]","Stearic acid (C18:0) [mg]","Arachidic acid (C20:0) [mg]","Behenic acid (C22:0) [mg]","Lignoceric acid (C24:0) [mg]","Myristoleic acid (C14:1) [mg]","Palmitoleic acid (C16:1) [mg]","Oleic acid (C18:1n9) [g]","Elaidic acid (C18:1n9t) [g]","Eicosenoic acid (C20:1n9) [mg]","Erucic acid (C22:1n9) [g]","Nervonic acid (C24:1n9) [mg]","Linoleic acid (C18:2n6) [g]","Eicosadienoic acid (C20:2) [mg]","α-Linolenic acid (C18:3n3) [mg]","Arachidonic acid (C20:4n6) [mg]","Undecanoic acid (C11:0) [ug]","Pentadecanoic acid (C15:0) [mg]","Eicosatrienoic acid (C20:3n6) [mg]","Eicosapentaenoic acid (C20:5n3) [mg]","Docosahexaenoic acid (C22:6n3) [mg]","Docosadienoic acid (C22:2) [mg]","Docosapentaenoic acid (C22:5n3) [mg]","Histidine [mg]","Isoleucine [mg]","Leucine [mg]","Lysine [mg]","Methionine [mg]","Cysteine [mg]","Phenylalanine [mg]","Threonine [mg]","Tryptophan [mg]","Valine [mg]","Alanine [mg]","Arginine [mg]","Aspartic acid [mg]","Glucose [mg]","Glycine [mg]","Proline [mg]","Serine [mg]","Tyrosine [mg]","Oxalates [mg]","Soluble Oxalate [mg]","Insoluble Oxalate [mg]","Cis-Aconitic acid [mg]","Citric acid [mg]","Fumaric acid [mg]","Malic acid [mg]","Quinic acid [mg]","Succinic acid [mg]","Tartaric acid [mg]","3,4-Dihydroxy Benzoic acid [ug]","3-Hydroxy Benzaldehyde [ug]","Protocatechuic acid [ug]","Vanillic acid [ug]","Gallic acid [mg]","Cinnamic acid [ug]","o-Coumaric acid [ug]","p-Coumaric acid [ug]","Caffeic acid [ug]","Chlorogenic acid [mg]","Ferulic acid [ug]","Apigenin [mg]","Apigenin-6-C-gluoside [ug]","Apigenin-7-O-neohesperidoside [mg]","Luteolin [ug]","Kaempferol [mg]","Quercetin [mg]","Quercetin-3-β-D-glucoside [mg]","Quercetin-3-O-rutinoside [mg]","Quercetin-3-β-galactoside [mg]","Isorhamnetin [mg]","Myricetin [mg]","Resvertrol [ug]","Hesperetin [mg]","Naringenin [mg]","Hesperdin [mg]","Daidzein [mg]","Genistein [mg]","(-)-Epicatechin [mg]","(-)-Epigallo catechin [ug]","(-)-Epigallo catechin 3-gallate [ug]","(+)-Catechin [mg]","(-)-Gallocatechin gallate [ug]","(-)-Gallocatechin [ug]","Syringic acid [mg]","Sinapinic acid [mg]","Ellagic acid [mg]","Raffinose [mg]","Stachyose [mg]","Verbascose [mg]","Ajugose [mg]","Campesterol [mg]","Stigmasterol [mg]","β-Sitosterol [mg]","Carotenes [ug]","Xanthophylls [ug]","β-Carotene equivalents [ug]"
B016,Moth bean,Vigna aconitifolia,"E. Mat bean, Turkish gram, Dew bean; H. Motha; Tam. Narippayir; Kan. Matki Kal; Mar. Matki; B. Kheri; G. Math; P. Bhiopnitam; P. Moth dal; Kh. Rymbai.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,1291,8.14,3.14,0.00515721,1.76,0,15.12,52.09,19.75,18.535375,0.000622,0.04887,0.13156,0.00559,0,0.04332,0.609,3.12,2.10334,0.01180982,0.000005,0.00054,0,0.00000357,0.00433112,0,0.00000977,0.00079,0.00002275,0.434,0.92025,0.849,0.92125,0,0.07225,0.848,0.24,0.609,0.07225,0,0,14.5,0.62,48,46.64,1.82,1.36,7.4497,3.68535,7.400325,0,0.00045,0.00009,0.00187,0.00141,0.00016,0.00000212,0.000349,0.00000977,0,0,0.00029,0,0.00504,0.00026,0,0,0,0,0.00002275,0,0.000148,0,0,0,0,0,0.00000357,0.00054,0,0,0.154,0.000003,0.000019,0.00064,0.0079,0,0.000005,0.205,0.00107,0,0.000059,0.00018,0.362,1.356,0.00001882,0.02634,0.00192,0.1,0.62,0.64,0,0,0,0,0,0,0,0,0.32,0.09775,0.00794,0.00479,0.00283,0,0,0.07225,0,0,0,0,0.609,0,0.24,0,0,0,0,0,0,0,0,0.553,0.823575,1.550375,1.309425,0.191575,0.084925,1.155375,0.716925,0.1817,0.96775,0.9875,1.5168,2.08165,3.335775,0.7268,0.780125,0.9954,0.5767,0.03611,0.02872,0.01015,0,0,0.00225,0.00071,0,0.00425,0,0,0,0,0,0,0,0,0.00009,0.00055,0.00256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,1.62,0.02,0,0.0104,0.02732,0.09384,0.00000357,0.000148,0.00000357
B017,"Peas, dry",Pisum sativum,"A. Gota motor; B. Matar; G. Sukha vatana; H. Sukhi Matar; Kan. Batani; Kash. Kaza; Kh. Shana mator; Mal. Pattani; Tam. Pattani; O. Matara; P. Sukhe hare matar dal; Kan., Tel. Batani; Kash. Kara; M. Hawai mangal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,1269,9.33,2.41,0.0054529,1.89,0,17.01,48.93,20.43,19.050975,0.000933,0.03065,0.09389,0.00257,0,0.10064,0.413,1.4,1.47751,0.01024307,0.000003,0.000525,0.00000183,0.00006571,0.00504053,0,0.00001521,0.00032,0.00001145,0.242,1.271,0.873,1.271,0,0.398,0.873,0.145,0.728,0.398,0,0,14.55,2.47,45.07,43.04,0.88,2.03,7.144371,4.102344,7.80426,0,0.00056,0.00016,0.00269,0.00126,0.00026,5.3e-7,0.00011,0.00001521,0,0,0.00007,0,0.0025,0,0,0,0,0,0.00001145,0,0.000474,0.00002341,0,0,0,0,0.00006571,0.00052,0,0,0.07511,0.00001,0.000009,0.00068,0.00509,0.000005,0.000003,0.123,0.00108,0.00000183,0.000113,0.000111,0.334,0.922,0.00005007,0.0234,0.0031,0.61,0.48,0.94,0,0,0,0,0,0,0,0,0.193,0.0485,0,0,0,0,0,0.398,0,0,0,0,0.728,0,0.145,0,0,0,0,0,0,0,0,0.478062,0.790641,1.434186,1.454616,0.138924,0.167526,0.972468,0.745695,0.175698,0.954081,0.921393,1.652787,2.316762,3.579336,0.856017,0.762039,0.986769,0.663975,0.00889,0.00675,0.00235,0.00298,0,0.00132,0.00082,0.08315,0.00348,0,0.00007,0,0,0,0.00011,0,0,0.00008,0.00007,0.00208,0,0,0,0,0.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.61,0.17,0,0.00613,0.00291,0.08485,0.00006571,0.00049741,0.00006571
B018,"Rajmah, black",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Kadi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma heh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Kale rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,2,vegetarian eggetarian fishetarian veg,1247,8.69,3.35,0.00572761,1.62,0,17.74,49.59,19.01,17.713518,0.00008667,0.358,0.08229,0.00167,0,0.05629,0.47,2.3,2.0514,0.01168365,0.000002,0.000762,0,0.00000195,0.00548263,0,0.00002798,0.00021,0.00000505,0.238,1.032,0.927,1.032,0,0.105,0.927,0.541,0.386,0.105,0,0,15.16,2.58,40.46,38.45,1.56,2.02,6.704827,3.094828,7.913863,0,0.00021,0.00019,0.00261,0.00191,0.00023,6.3e-7,0.000332,0.00002798,0,0,0.00005,0,0.00162,0,0,0,0,0,0.00000505,0,0.00000638,0,0,0,0,0,0.00000195,0.00075,0,0,0.134,0.000032,0.000006,0.00087,0.00617,0.000012,0.000002,0.16,0.00119,0,0.000034,0.000283,0.386,1.362,0.00001865,0.0094,0.00308,0,0.18,1.84,0,0,0,0,0,0,0,0,0.216,0.02197,0,0,0,0,0,0.105,0,0,0,0,0.386,0,0.541,0,0,0,0,0,0,0,0,0.463844,0.743291,1.300284,1.142501,0.150179,0.136872,1.011332,0.743291,0.231922,0.918183,0.889668,1.104481,2.463696,3.590989,0.650142,0.614023,0.96951,0.58931,0.04866,0.04546,0.0032,0,0,0.00272,0.0012,0,0.00371,0,0,0,0,0,0,0,0,0.0047,0.00269,0.00566,0,0,0,0.02835,0.0059,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0.00225,0,0,0.00213,0,0,0,0,0,0.1,1.44,0.02,0,0.00259,0.0165,0.0632,0.00000195,0.00000638,0.00000195
B019,"Rajmah, brown",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Gulabi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma lieh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Bhoore rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,1245,9.68,3.36,0.00570425,1.68,0,16.95,48.83,19.5,18.4782,0.00009026,0.353,0.08312,0.00166,0,0.05002,0.481,2.85,2.07047,0.0114097,0.000002,0.000926,0.00000148,0.00000216,0.00544077,0,0.00002582,0.00023,0.0000055,0.242,0.98776,0.896,0.98776,0,0.09176,0.896,0.552,0.344,0.09176,0,0,14.33,2.62,40.32,38.05,1.48,2.27,7.6167,3.38325,7.47825,0,0.00026,0.00021,0.00237,0.00206,0.00021,7.7e-7,0.00033,0.00002582,0,0,0.00008,0,0.00158,0,0,0,0,0,0.0000055,0,0.00000718,0,0,0,0,0,0.00000216,0.00092,0,0,0.134,0.000025,0.000024,0.00089,0.0063,0.000006,0.000002,0.164,0.00119,0.00000148,0.000081,0.000287,0.396,1.366,0.0000127,0.01047,0.0026,0,0.39,1.88,0,0,0,0,0,0,0,0,0.215,0.02674,0,0,0,0,0,0.09176,0,0,0,0,0.344,0,0.552,0,0,0,0,0,0,0,0,0.52845,0.83265,1.54635,1.30065,0.18915,0.1209,1.15245,0.84825,0.2028,1.01595,0.89505,1.1622,2.21325,3.237,0.7605,0.70785,1.13295,0.6318,0.04341,0.03348,0.00816,0,0,0.0024,0.00073,0,0.00348,0,0,0,0,0,0,0,0,0.00396,0.00274,0.00612,0,0,0,0,0.00486,0.00258,0,0,0,0,0,0,0,0,0,0,0,0,0.00211,0,0,0.0024,0,0,0,0,0,0.05,1.41,0.02,0,0.0025,0.01644,0.06418,0.00000216,0.00000718,0.00000216
B020,"Rajmah, red",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (lal); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma rit; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Lal rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,3,vegetarian eggetarian fishetarian veg,1252,9.87,3.28,0.00552,1.77,0,16.57,48.61,19.91,18.400822,0.000103,0.36,0.0835,0.00163,0,0.04806,0.465,2.79,2.04245,0.01116145,0.000003,0.000653,0,0.0000016,0.00525677,0,0.00002673,0.00023,0.0000049,0.256,1.01884,0.931,1.01884,0,0.08784,0.931,0.557,0.374,0.08784,0,0,13.86,2.7,40.07,38.55,1.52,1.52,7.66535,3.40461,7.330862,0,0.0003,0.00019,0.00242,0.00182,0.00021,7.7e-7,0.000316,0.00002673,0,0,0.00007,0,0.00156,0,0,0,0,0,0.0000049,0,0.00000676,0,0,0,0,0,0.0000016,0.00065,0,0,0.126,0.000029,0.000013,0.00078,0.00613,0.000003,0.000003,0.173,0.00124,0,0.000054,0.000203,0.409,1.324,0.00002245,0.01045,0.00269,0,0.23,1.29,0,0,0,0,0,0,0,0,0.225,0.03051,0,0,0,0,0,0.08784,0,0,0,0,0.374,0,0.557,0,0,0,0,0,0,0,0,0.53757,0.842193,1.548998,1.335961,0.175208,0.13937,1.17469,0.832238,0.209055,1.009437,0.909887,1.21451,2.09055,3.187591,0.752598,0.67694,1.142834,0.621192,0.04144,0.03884,0.0026,0,0,0.00219,0.00067,0,0.00376,0,0,0,0,0,0,0,0,0.0038,0.00242,0.00593,0,0,0,0,0.00476,0.00276,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0.00279,0,0,0,0,0,0.07,1.42,0.03,0,0.0026,0.01623,0.06467,0.0000016,0.00000676,0.0000016
B021,"Red gram, dal",Cajanus cajan,"A. Rohor dail; B., Kash., H. Arhar dal; E. Pigeon pea; G. Tuver ni daad; Kan. Thugare bele; Kash. Masur; Kh. Dai shana; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; N. Rahar ko dal; O. Harada dal; P. Arhar dal; S. Aaddhakii; Tel. Kandi pappu; Tam. Tuvaramparuppu; U. Tuvar ki dal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,1384,9.2,3.26,0.00462968,1.56,0,9.06,55.23,21.7,20.39583,0.000484,0.01594,0.08544,0.00082,0,0.0083,0.277,1.56,1.93174,0.00914336,0.000004,0.000833,0.00000156,0.000127,0.00426831,0,0.00000212,0.00019,0.00004225,0.257,0.74094,0.65144,0.74138,0,0.08994,0.651,0.05144,0.6,0.08994,0,0,6.67,2.39,50.6,48.53,1.81,2.08,8.12665,3.47851,8.79067,0,0.00045,0.00011,0.00209,0.00127,0.00024,3.1e-7,0.000108,0.00000212,0,0,0.00013,0,0.00063,0.00006,0,0,0,0,0.00004225,0,0.00001169,0,0,0,0,0,0.000127,0.00083,0,0,0.07173,0.000007,0.000003,0.00114,0.0039,0.000003,0.000004,0.119,0.00112,0.00000156,0.000131,0.000198,0.328,1.395,0.00001436,0.01801,0.00263,0.1,0.2,1.78,0,0,0,0,0,0,0,0,0.222,0.03522,0,0,0,0,0,0.08994,0,0,0,0,0.6,0,0.05144,0,0,0,0,0,0,0,0,0.68572,0.74214,1.46041,1.33672,0.18879,0.14539,1.90092,0.70742,0.15407,0.95046,0.97433,1.27379,2.22642,4.6655,0.70091,0.85498,0.92442,0.50344,0.00141,0.0012,0.00022,0,0,0.00048,0.00056,0.00328,0.00055,0.00202,0.00008,0,0.00013,0.00004,0,0,0,0.00036,0,0,0.00005,0.0004,0,0,0.00005,0,0,0,0.00287,0,0,0,0,0,0,0,0.00001,0.0001,0.00005,0,0,0.00009,0,0.00002,0,0,0,0.33,0.81,0.67,0,0.00739,0.00946,0.06859,0.000127,0.00001169,0.000127
B022,"Red gram, whole",Cajanus cajan,A. Gota rohor; E. Pigeon pea; G. Tuver; H. Arhar sabud; Kash. Masur; Kh. Rymbai ja; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; O. Harada; P. Arhar sabut dal; Tam. Tuvarai; Tel. Kandulu; U. Tuvar.,Grain Legumes,6,vegetarian eggetarian fishetarian veg,1146,9.3,3.53,0.00656326,1.38,0,22.84,42.48,20.47,19.376902,0.000579,0.204,0.08619,0.00229,0,0.01509,0.604,1.89,1.92803,0.01132541,0.000008,0.002215,0.00000222,0.000149,0.00551965,0,0.00000278,0.0008,0.00009183,0.277,0.71555,0.63667,0.71522,0,0.07855,0.637,0.05167,0.585,0.07855,0,0,19.69,3.15,40.27,38.97,1.49,1.3,7.889138,3.416443,8.071321,0,0.00074,0.00015,0.00242,0.00156,0.00042,6.5e-7,0.000229,0.00000278,0,0,0.00065,0,0.00153,0.00011,0,0,0,0,0.00009183,0,0.00002525,0,0,0,0,0,0.000149,0.00221,0,0.000001,0.139,0.000022,0.00002,0.00132,0.00537,0.000004,0.000008,0.155,0.00134,0.00000222,0.000087,0.000161,0.312,1.303,0.00001541,0.01903,0.00299,0.1,0.2,1,0,0,0,0,0,0,0,0,0.236,0.04095,0,0,0,0,0,0.07855,0,0,0,0,0.585,0,0.05167,0,0,0,0,0,0,0,0,0.671416,0.691886,1.408336,1.447229,0.188324,0.186277,1.782937,0.691886,0.153525,0.853599,0.890445,1.224106,2.130927,4.149269,0.681651,0.804471,0.90068,0.519938,0.00165,0.00133,0.00032,0,0,0.00413,0.00153,0.00403,0.00155,0.0022,0.00059,0,0.00063,0.00041,0,0,0,0.00059,0,0,0.00012,0.0015,0,0,0.00116,0,0,0,0.00832,0,0,0,0,0,0,0,0,0,0.00054,0,0,0.00024,0,0.00015,0,0,0,0.24,0.64,0.61,0,0.0066,0.01049,0.0691,0.000149,0.00002525,0.000149
B023,Ricebean,Vigna umbellata,B. Galmoong; E. Ricebean; H. Meth; Kh. Rymbai ja; Mal. Kattuzhunnu; M. Chakwai ; N. Shiltong.,Grain Legumes,1,vegetarian eggetarian fishetarian veg,1265,11.12,3.54,0.00635476,0.74,0,13.37,51.26,19.97,18.995464,0.00002902,0.01158,0.02943,0.00233,0.00023,0.41531,0.486,0,1.87762,0.009482,0,0,0,0,0.00415465,0.00111,0.00000826,0.00106,0.00002185,0.172,0.41993,0.06293,0.41993,0,0.357,0.06293,0,0.06293,0.357,0,0,10.04,3.33,45.38,44.05,5.05,1.33,7.966033,3.63454,7.394891,0,0.00046,0.00014,0.00232,0.00098,0.00013,0.00000265,0.000122,0.00000826,0,0,0.0009,0,0.00143,0,0.00005,0,0.00018,0,0.00002185,0,0.00000688,0,0,0,0,0,0,0,0,0,0.2,0.000002,0,0.00075,0.00476,0,0,0.201,0.00168,0,0,0,0.27,1.196,0,0.01062,0.00229,0.2,0.73,0.4,0,0,0,0,0,0,0,0,0.05069,0.01481,0.01797,0.02806,0.01826,0,0,0.357,0,0,0,0,0.06293,0,0,0,0,0,0,0,0,0,0,0.645031,0.75886,1.569642,1.347975,0.223664,0.203694,1.509732,0.702944,0.163754,1.044431,0.950572,1.114326,2.020964,3.458804,0.854716,0.83874,0.964551,0.623064,0.391,0.07036,0.321,0,0,0.02005,0.00386,0,0.0004,0,0.00003,0,0.00011,0.00009,0,0.00003,0,0.00002,0,0,0.00032,0.00001,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0,0,0.00001,0,0,0,0,0,0.05,5,0,0,0.00085,0.00313,0.02545,0,0.00000688,0
B024,"Soya bean, brown",Glycine max,A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tam. Soya bean; Tel. Soya bean; U. Soya.,Grain Legumes,6,vegetarian eggetarian fishetarian veg,1596,5.51,4.74,0.00705325,19.82,0,21.55,12.79,35.58,34.77945,0.000262,0.106,0.11333,0.0039,0.00005,0.15607,0.443,7.39,2.59607,0.016662,0.000001,0.001451,0.00000115,0.0000035,0.00564773,0,0.00006622,0.00129,0.0000458,3.092,15.837,11.279,15.83678,0,4.558,11.279,1.31,9.969,4.53499,0,0.02279,16.56,5,9.16,6.65,2.38,2.51,13.94736,6.966564,13.865526,0,0.00059,0.00024,0.00212,0.00197,0.00043,7.3e-7,0.000297,0.00006622,0,0,0.00104,0,0.00228,0.00058,0.00005,0,0,0,0.0000458,0,0.00003547,0,0,0,0,0,0.0000035,0.00145,0,0.000001,0.239,0.000003,0.000049,0.00129,0.00829,0,0.000001,0.259,0.00269,0.00000115,0.000157,0.000154,0.483,1.613,0.000019,0.00207,0.00401,0.2,0.63,1.68,0,0,0,0,0,0,0,0,2.381,0.566,0.0471,0.06789,0.02984,0,0.02279,4.499,0,0.03599,0,0,9.969,0,1.31,0,0,0,0,0,0,0,0,0.85392,1.626006,2.942466,2.728986,0.519468,0.555048,1.682934,1.234626,0.565722,1.793232,1.537056,2.355396,4.081026,6.500466,1.348482,1.56552,1.746978,1.142118,0.122,0.00819,0.114,0,0,0.03191,0.00134,0,0.00082,0,0.00145,0,0.00175,0.00041,0.00128,0,0,0.00107,0.00588,0.00252,0.00823,0.00177,0,0,0,0.00167,0.00147,0.00147,0.00651,0,0,0,0,0,0,0,0.03171,0.0563,0,0,0,0,0,0,0.00724,0.00805,0,0.33,2.01,0.04,0,0.01448,0.01038,0.08847,0.0000035,0.00003547,0.0000035
B025,"Soya bean, white",Glycine max,A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tel. Soya bean; Tam. Soya bean; U. Soya.,Grain Legumes,1,vegetarian eggetarian fishetarian veg,1579,5.47,4.52,0.0072776,19.42,0,22.63,10.16,37.8,36.46188,0.000282,0.111,0.11289,0.00386,0.00004,0.15481,0.46,7.51,2.51483,0.01511685,0,0.00071,0,0.00000282,0.00582877,0,0.00006981,0.00133,0.0000462,3.002,15.888,11.072,15.88845,0,4.817,11.071,1.318,9.754,4.7911,0,0.02535,17.04,5.59,9.46,7.26,2.17,2.2,15.16158,7.26516,14.03514,0,0.00061,0.00023,0.00228,0.00197,0.00045,7.7e-7,0.000288,0.00006981,0,0,0.00106,0,0.0025,0.0003,0.00004,0,0,0,0.0000462,0,0.0000285,0,0,0,0,0,0.00000282,0.00071,0,0,0.195,0.000007,0.000018,0.00079,0.00822,0,0,0.189,0.00227,0,0.000156,0.000169,0.494,1.634,0.00001685,0.00283,0.00347,0.2,0.56,1.44,0,0,0,0,0,0,0,0,2.338,0.52344,0.0433,0.06549,0.03095,0,0.02535,4.723,0,0.0681,0,0,9.754,0,1.318,0,0,0,0,0,0,0,0,0.9639,1.73502,3.07692,2.71404,0.5859,0.54432,1.89378,1.46664,0.63504,2.09034,1.63674,2.77074,4.3092,6.34284,1.47042,1.22472,1.74636,1.25496,0.119,0.00818,0.111,0,0.00008,0.03352,0.00132,0,0.00089,0,0.00148,0,0.00187,0.00035,0.00131,0,0,0.00104,0.00412,0.00245,0.00742,0.00247,0,0,0,0.00147,0.00141,0.00158,0.00593,0,0,0,0,0,0,0,0.02853,0.04781,0,0,0,0,0,0,0.00693,0.00723,0,0.31,1.81,0.05,0,0.0144,0.0104,0.08809,0.00000282,0.0000285,0.00000282
C001,Agathi leaves,Sesbania grandiflora,"A. Bok phular paat; B. Bak ful shak; E. August tree leaves, Humming bird tree leaves, spinach; G. Agathio; H. Agasthi; Kan. Agase soppu; Mal. Agathi cheera; M. Chu chu Rangmei; Mar. Agasthi ka sag; O. Agasti; Tam. Agathi keerai; Tel. Avise akulu.",Green Leafy Vegetables,1,vegetarian eggetarian fishetarian veg,295,74.43,2.42,0.13827277,1.35,0,8.6,5.21,8.01,7.865019,0.036087,0.08925,0.01173,0.00188,0.00078,0.19958,0.06333,0.69,1.74228,0.00649262,0,0.000014,4.1e-7,0.012582,0.00264775,0.121,0.00000402,0.00177,0.000269,0.49,0.58967,0.532,0.58967,0,0.05767,0.532,0.407,0.125,0.04076,0,0.01691,6,2.6,3.95,3.72,0,0.23,3.272085,1.545129,3.047805,0,0.00026,0.00033,0.00118,0.00053,0.00022,0.00000775,0.00012,0.00000402,0,0,0.00148,0.00022,0.00018,0,0.0006,0,0.00018,0,0.000269,0,0.012941,0.000559,0,0,0,0,0.012582,0,0.00000392,0.000001,0.901,0,0.000007,0.00025,0.00436,0.000013,0,0.09664,0.00124,4.1e-7,0.000003,0.000068,0.05252,0.674,0.0000307,0.01812,0.00053,0.1,0.1,0.03,0,0,0,0,0,0,0,0,0.346,0.07453,0.02395,0.02496,0.02061,0,0.01691,0.04076,0,0,0,0,0.125,0,0.407,0,0,0,0,0,0,0,0,0.191439,0.22428,0.607158,0.610362,0.102528,0.068085,0.483003,0.431739,0.141777,0.479799,0.578322,0.366858,0.849861,1.263978,0.438147,0.370863,0.355644,0.301176,0.179,0.00806,0.171,0,0.00246,0.00726,0.00759,0,0.00327,0,0.00166,0,0,0,0.00099,0,0.00036,0.00041,0.0002,0.0109,0.00035,0.00084,0,0,0.00025,0.00042,0.00051,0,0,0,0.00121,0.00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442,0.00137,0.00594,0.012582,0.0135,0.012582
